minute,result,X,Y,xG,player,h_a,situation,season,shotType,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
36,MissedShots,0.753000031,0.427000008,0.020442,Mohamed Salah,h,OpenPlay,2022,LeftFoot,Liverpool,Brighton,3,3,2022-10-01 14:00:00,,None
31,MissedShots,0.875999985,0.265,0.036747299,Mohamed Salah,a,OpenPlay,2022,LeftFoot,Arsenal,Liverpool,3,2,2022-10-09 15:30:00,Jordan Henderson,Pass
49,MissedShots,0.843000031,0.487000008,0.498376012,Mohamed Salah,h,OpenPlay,2022,LeftFoot,Liverpool,Manchester City,1,0,2022-10-16 15:30:00,Roberto Firmino,Throughball
68,MissedShots,0.854000015,0.360999985,0.058634199,Mohamed Salah,h,OpenPlay,2022,LeftFoot,Liverpool,Manchester City,1,0,2022-10-16 15:30:00,Roberto Firmino,Pass
75,Goal,0.821999969,0.515999985,0.168625996,Mohamed Salah,h,OpenPlay,2022,LeftFoot,Liverpool,Manchester City,1,0,2022-10-16 15:30:00,Alisson,Pass
31,BlockedShot,0.849000015,0.467000008,0.104627997,Mohamed Salah,h,OpenPlay,2022,LeftFoot,Liverpool,West Ham,1,0,2022-10-19 18:30:00,Fabio Carvalho,Pass
34,MissedShots,0.859000015,0.435,0.108364001,Mohamed Salah,h,OpenPlay,2022,LeftFoot,Liverpool,West Ham,1,0,2022-10-19 18:30:00,Trent Alexander-Arnold,Pass
35,MissedShots,0.769000015,0.247000008,0.0196549,Mohamed Salah,h,OpenPlay,2022,LeftFoot,Liverpool,West Ham,1,0,2022-10-19 18:30:00,Roberto Firmino,Pass
37,SavedShot,0.825999985,0.360999985,0.046284098,Mohamed Salah,h,OpenPlay,2022,LeftFoot,Liverpool,West Ham,1,0,2022-10-19 18:30:00,Roberto Firmino,Pass
83,SavedShot,0.868000031,0.327000008,0.168359995,Mohamed Salah,h,OpenPlay,2022,LeftFoot,Liverpool,West Ham,1,0,2022-10-19 18:30:00,Trent Alexander-Arnold,TakeOn
92,BlockedShot,0.880999985,0.622999992,0.089467697,Mohamed Salah,h,OpenPlay,2022,LeftFoot,Liverpool,West Ham,1,0,2022-10-19 18:30:00,James Milner,Pass
